Date,EColi
2017-11-05,132.0
2017-11-14,30.0
2017-11-20,30.0
2017-11-26,20.0
2017-12-05,63.0
2017-12-11,41.0
2017-12-17,31.0
2017-12-24,199.0
2017-12-31,1290.0
2018-01-07,3870.0
2018-01-16,31.0
2018-01-23,1720.0
2018-01-28,404.0
2018-02-07,110.0
2018-02-12,2010.0
2018-02-18,262.0
2018-02-27,3970.0
2018-03-05,201.0
2018-03-11,2380.0
2018-03-20,122.0
2018-03-26,809.0
2018-04-04,86.0
2018-04-10,5790.0
2018-04-16,2360.0
2018-04-22,246.0
2018-11-11,160.0
2018-11-19,187.0
2018-11-25,548.0
2018-12-03,443.0
2018-12-09,703.0
2018-12-17,3260.0
2018-12-23,272.0
2018-12-31,327.0
2019-01-06,97.0
2019-01-14,171.0
2019-01-20,309.0
2019-01-28,120.0
2019-02-03,364.0
2019-02-11,63.0
2019-02-17,1782.0
2019-02-19,30.0
2019-02-25,2910.0
2019-03-03,448.0
2019-03-11,1076.0
2019-03-19,171.0
2019-03-25,62.0
2019-03-31,31.0
2019-04-08,158.0
2019-04-14,341.0
2019-04-23,173.0
2019-04-30,2014.0
2019-11-03,52.0
2019-11-11,2480.0
2019-11-17,512.0
2019-11-25,108.0
2019-12-01,73.0
2019-12-09,6870.0
2019-12-15,98.0
2019-12-23,437.0
2019-12-29,160.0
2020-01-06,109.0
2020-01-12,31.0
2020-01-20,74.0
2020-01-26,135.0
2020-02-03,211.0
2020-02-09,85.0
2020-02-17,75.0
2020-02-23,3870.0
2020-03-02,122.0
2020-03-08,98.0
2020-03-16,121.0
2020-03-22,213.0
2020-11-04,98.0
2020-11-08,132.0
2020-11-16,231.0
2020-11-22,1616.0
2020-11-30,1850.0
2020-12-06,209.0
2020-12-14,158.0
2020-12-20,41.0
2020-12-28,134.0
2021-01-03,63.0
2021-01-11,41.0
2021-01-17,31.0
2021-01-26,41.0
2021-01-31,10.0
2021-02-09,20.0
2021-02-09,20.0
2021-02-14,63.0
2021-02-22,31.0
2021-03-01,10.0
2021-03-08,638.0
2021-03-14,285.0
2021-03-28,75.0
2021-04-05,299.0
2021-04-19,96.0
2021-04-26,10.0
2021-11-02,175.0
2021-11-09,74.0
2021-11-16,1071.0
2021-11-23,576.0
2021-11-30,691.0
2021-12-07,12000.0
2021-12-14,
2021-12-21,265.0
2021-12-28,1019.0
2022-01-04,
2022-01-11,97.0
2022-01-18,75.0
2022-01-25,98.0
2022-02-01,121.0
2022-02-08,2850.0
2022-02-15,1296.0
2022-02-22,399.0
2022-03-01,20.0
2022-03-08,20.0
2022-03-15,41.0
2022-03-22,2014.0
2022-03-29,1421.0
2022-04-05,228.0
2022-04-12,63.0
2022-04-19,10.0
2022-04-27,31.0
2022-11-02,146.0
2022-11-08,63.0
2022-11-15,10.0
2022-11-22,1725.0
2022-11-29,262.0
2022-12-07,109.0
2022-12-13,246.0
2022-12-20,2760.0
2022-12-27,209.0
2023-01-03,31.0
2023-01-10,5790.0
2023-01-17,171.0
2023-01-25,62.0
2023-01-31,24200.0
2023-02-08,327.0
2023-02-21,538.0
2023-02-28,1106.0
2023-03-07,349.0
2023-03-14,1722.0
2023-03-21,538.0
2023-03-28,144.0
2023-04-04,187.0
2023-04-12,243.0
2023-04-18,73.0
2023-04-26,735.0
2023-11-07,215.0
2023-11-14,109.0
2023-11-21,4880.0
2023-11-28,512.0
2023-12-05,432.0
2023-12-12,334.0
2023-12-19,52.0
2023-12-28,108.0
2024-01-04,175.0
2024-01-09,97.0
2024-01-16,512.0
2024-01-24,301.0
2024-01-30,269.0
2024-02-07,231.0
2024-02-13,512.0
2024-02-20,441.0
2024-02-27,161.0
2024-03-05,5170.0
2024-03-12,128.0
2024-03-19,166.0
2024-03-26,313.0
2024-04-03,41.0
2024-04-09,85.0
2024-04-16,481.0
2024-04-23,110.0
2024-11-05,1725.0
2024-11-12,134.0
2024-11-19,97.0
2024-11-25,86.0
2024-12-03,175.0
2024-12-10,1935.0
2024-12-17,2723.0
2024-12-23,97.0
2024-12-30,146.0
2025-01-07,467.0
2025-01-14,10.0
2025-01-22,63.0
2025-01-28,373.0
2025-02-04,3255.0
2025-02-11,317.0
2025-02-18,388.0
2025-02-25,130.0
2025-03-05,146.0
2025-03-11,275.0
2025-03-18,231.0
2025-03-25,323.0
2025-04-01,3654.0
2025-04-09,860.0
2025-04-15,504.0
2025-04-23,12997.0
2025-04-29,187.0
2025-11-05,161.0
2025-11-12,173.0
2025-11-19,63.0
2025-11-26,52.0
2025-12-03,3450.0
2025-12-10,183.0
2025-12-17,246.0
2025-12-22,52.0
2025-12-29,161.0
2026-01-07,364.0
2026-01-14,108.0
2026-01-22,3080.0
2026-01-28,512.0
2026-02-04,1597.0
2026-02-11,41.0
2026-02-18,4350.0
2026-02-24,199.0
2026-03-04,120.0
2026-03-12,10.0
2026-03-18,121.0
2026-03-25,31.0
2026-04-01,631.0
2026-04-08,399.0
2026-04-15,1081.0
2026-04-22,14100.0
2026-04-30,388.0
