Date,EColi
2016-12-06,150.0
2016-12-12,810.0
2016-12-19,250.0
2016-12-28,90.0
2017-01-16,610.0
2017-01-24,800.0
2017-01-30,140.0
2017-02-07,160.0
2017-02-13,150.0
2017-02-20,1500.0
2017-02-27,92.0
2017-03-06,130.0
2017-03-13,660.0
2017-03-20,120.0
2017-03-27,540.0
2017-04-03,3500.0
2017-04-10,98.0
2017-04-18,130.0
2017-04-27,8.0
2017-11-05,262.0
2017-11-14,41.0
2017-11-20,31.0
2017-11-26,110.0
2017-12-05,408.0
2017-12-11,218.0
2017-12-17,86.0
2017-12-24,275.0
2017-12-31,294.0
2018-01-07,695.0
2018-01-16,199.0
2018-01-23,110.0
2018-01-28,41.0
2018-02-07,216.0
2018-02-12,6490.0
2018-02-18,428.0
2018-02-27,2610.0
2018-03-05,173.0
2018-03-11,31.0
2018-03-20,98.0
2018-03-26,345.0
2018-04-04,712.0
2018-04-10,14100.0
2018-04-16,61.0
2018-04-22,86.0
2018-11-11,441.0
2018-11-19,110.0
2018-11-25,97.0
2018-12-03,504.0
2018-12-09,131.0
2018-12-17,199.0
2018-12-23,142.0
2018-12-31,146.0
2019-01-06,121.0
2019-01-14,52.0
2019-01-20,1785.0
2019-01-28,146.0
2019-02-03,
2019-02-11,369.0
2019-02-17,74.0
2019-02-25,1211.0
2019-03-03,10.0
2019-03-11,426.0
2019-03-19,160.0
2019-03-25,86.0
2019-03-31,108.0
2019-04-08,712.0
2019-04-14,173.0
2019-04-23,131.0
2019-04-30,3870.0
2019-11-03,20.0
2019-11-11,3970.0
2019-11-17,19900.0
2019-11-25,63.0
2019-12-01,132.0
2019-12-09,2610.0
2019-12-15,98.0
2019-12-23,417.0
2019-12-29,259.0
2020-01-06,4350.0
2020-01-12,135.0
2020-01-20,231.0
2020-01-26,231.0
2020-02-03,305.0
2020-02-09,305.0
2020-02-17,52.0
2020-02-23,1785.0
2020-03-02,393.0
2020-03-08,161.0
2020-03-16,97.0
2020-03-22,301.0
2020-11-04,228.0
2020-11-08,448.0
2020-11-16,197.0
2020-11-22,934.0
2020-11-30,985.0
2020-12-06,984.0
2020-12-14,173.0
2020-12-20,9.0
2020-12-28,183.0
2021-01-03,121.0
2021-01-11,52.0
2021-01-17,52.0
2021-01-26,41.0
2021-01-31,75.0
2021-02-09,158.0
2021-02-14,161.0
2021-02-22,272.0
2021-03-01,97.0
2021-03-08,1334.0
2021-03-14,171.0
2021-03-28,20.0
2021-04-05,146.0
2021-04-19,213.0
2021-04-26,160.0
2021-11-02,41.0
2021-11-09,282.0
2021-11-16,749.0
2021-11-23,618.0
2021-11-30,545.0
2021-12-07,13000.0
2021-12-14,24200.0
2021-12-21,85.0
2021-12-28,256.0
2022-01-04,31.0
2022-01-11,130.0
2022-01-18,73.0
2022-01-25,134.0
2022-02-01,228.0
2022-02-08,230.0
2022-02-15,52.0
2022-02-22,84.0
2022-03-01,173.0
2022-03-08,473.0
2022-03-15,341.0
2022-03-22,1145.0
2022-03-29,228.0
2022-04-05,135.0
2022-04-12,75.0
2022-04-19,63.0
2022-04-27,75.0
2022-11-01,629.0
2022-11-07,131.0
2022-11-14,305.0
2022-11-21,521.0
2022-11-28,512.0
2022-12-05,359.0
2022-12-12,199.0
2022-12-19,820.0
2022-12-26,231.0
2023-01-02,63.0
2023-01-09,272.0
2023-01-16,31.0
2023-01-24,85.0
2023-01-30,657.0
2023-02-07,279.0
2023-02-13,144.0
2023-02-20,110.0
2023-02-27,20.0
2023-03-06,189.0
2023-03-13,73.0
2023-03-20,313.0
2023-03-27,175.0
2023-04-03,96.0
2023-04-11,109.0
2023-04-17,95.0
2023-04-24,546.0
2023-11-08,110.0
2023-11-13,120.0
2023-11-20,1918.0
2023-11-27,145.0
2023-12-04,97.0
2023-12-11,1376.0
2023-12-18,1246.0
2023-12-27,173.0
2024-01-03,20.0
2024-01-08,85.0
2024-01-15,85.0
2024-01-23,110.0
2024-01-29,288.0
2024-02-05,195.0
2024-02-12,63.0
2024-02-19,341.0
2024-02-26,908.0
2024-03-04,279.0
2024-03-11,74.0
2024-03-18,161.0
2024-03-25,173.0
2024-04-02,97.0
2024-04-08,121.0
2024-04-15,426.0
2024-04-24,250.0
2024-11-04,52.0
2024-11-11,860.0
2024-11-18,63.0
2024-11-25,97.0
2024-12-02,
2024-12-09,24196.0
2024-12-16,72.0
2024-12-23,301.0
2024-12-30,63.0
2025-01-06,52.0
2025-01-13,63.0
2025-01-21,31.0
2025-01-28,272.0
2025-02-03,75.0
2025-02-10,187.0
2025-02-17,86.0
2025-02-24,146.0
2025-03-03,98.0
2025-03-10,109.0
2025-03-17,213.0
2025-03-24,171.0
2025-03-31,146.0
2025-04-07,226.0
2025-04-14,41.0
2025-04-23,5172.0
2025-04-28,345.0
2025-11-03,63.0
2025-11-10,41.0
2025-11-17,110.0
2025-11-24,52.0
2025-12-01,1354.0
2025-12-08,75.0
2025-12-15,41.0
2025-12-22,52.0
2025-12-29,31.0
2026-01-07,31.0
2026-01-12,299.0
2026-01-20,98.0
2026-01-26,2600.0
2026-02-02,62.0
2026-02-09,86.0
2026-02-17,272.0
2026-02-23,63.0
2026-03-02,146.0
2026-03-10,228.0
2026-03-16,122.0
2026-03-23,52.0
2026-03-30,171.0
2026-04-07,108.0
2026-04-13,3080.0
2026-04-20,457.0
2026-04-28,73.0
