Date,EColi
2016-12-01,390.0
2016-12-07,59.0
2016-12-13,69.0
2016-12-20,16.0
2016-12-29,29.0
2017-01-05,270.0
2017-01-10,39.0
2017-01-17,16.0
2017-01-26,56.0
2017-02-01,25.0
2017-02-09,49.0
2017-02-15,81.0
2017-02-22,80.0
2017-03-01,64.0
2017-03-08,3300.0
2017-03-15,280.0
2017-03-22,120.0
2017-03-29,100.0
2017-04-05,4800.0
2017-04-20,58.0
2017-04-26,69.0
2017-11-07,41.0
2017-11-13,10.0
2017-11-19,31.0
2017-11-28,10500.0
2017-12-04,504.0
2017-12-10,74.0
2017-12-19,122.0
2017-12-28,110.0
2018-01-04,7700.0
2018-01-09,480.0
2018-01-15,
2018-01-21,161.0
2018-01-30,73.0
2018-02-05,84.0
2018-02-11,175.0
2018-02-20,
2018-02-26,63.0
2018-03-04,10.0
2018-03-13,97.0
2018-03-19,31.0
2018-03-25,20.0
2018-04-03,31.0
2018-04-09,10.0
2018-04-15,118.0
2018-04-24,86.0
2018-11-12,20.0
2018-11-18,20.0
2018-11-26,1785.0
2018-12-02,218.0
2018-12-11,20.0
2018-12-16,1860.0
2018-12-24,20.0
2019-01-07,41.0
2019-01-22,61.0
2019-01-27,63.0
2019-02-04,10.0
2019-02-10,20.0
2019-02-18,41.0
2019-02-24,185.0
2019-03-04,20.0
2019-03-10,173.0
2019-03-19,52.0
2019-03-24,41.0
2019-04-02,52.0
2019-04-07,52.0
2019-04-15,134.0
2019-04-21,52.0
2019-04-29,441.0
2019-11-04,10.0
2019-11-10,269.0
2019-11-18,85.0
2019-11-24,
2019-12-02,298.0
2019-12-08,97.0
2019-12-16,
2019-12-22,226.0
2019-12-30,31.0
2020-01-05,10.0
2020-01-13,31.0
2020-01-19,
2020-01-27,72.0
2020-02-02,31.0
2020-02-10,
2020-02-16,85.0
2020-02-24,10.0
2020-03-01,85.0
2020-03-09,20.0
2020-03-15,10.0
2020-03-23,20.0
2020-11-01,173.0
2020-11-09,441.0
2020-11-15,121.0
2020-11-23,31.0
2020-11-29,51.0
2020-12-07,41.0
2020-12-13,41.0
2020-12-21,10.0
2020-12-27,211.0
2021-01-04,5170.0
2021-01-10,31.0
2021-01-18,52.0
2021-01-24,31.0
2021-02-01,31.0
2021-02-07,10.0
2021-02-15,10.0
2021-02-21,52.0
2021-02-28,20.0
2021-03-07,41.0
2021-03-15,10.0
2021-03-21,10.0
2021-03-29,41.0
2021-04-04,96.0
2021-04-12,855.0
2021-04-18,10.0
2021-04-26,41.0
2021-11-03,20.0
2021-11-10,52.0
2021-11-17,624.0
2021-11-24,10.0
2021-12-01,14100.0
2021-12-08,323.0
2021-12-15,5480.0
2021-12-22,323.0
2021-12-29,5790.0
2022-01-05,52.0
2022-01-12,51.0
2022-01-19,52.0
2022-01-26,563.0
2022-02-02,31.0
2022-02-07,7700.0
2022-02-16,404.0
2022-02-23,41.0
2022-03-02,10.0
2022-03-09,
2022-03-16,75.0
2022-03-23,471.0
2022-03-30,
2022-04-06,96.0
2022-04-13,
2022-04-21,
2022-04-28,20.0
2022-11-02,109.0
2022-11-08,10.0
2022-11-15,31.0
2022-11-22,231.0
2022-11-29,644.0
2022-12-06,41.0
2022-12-13,880.0
2022-12-20,15500.0
