Date,EColi
2016-12-08,54.0
2016-12-12,3300.0
2016-12-19,2600.0
2016-12-28,4200.0
2017-01-04,16.0
2017-01-09,9700.0
2017-01-16,
2017-01-24,450.0
2017-01-30,68.0
2017-02-07,
2017-02-13,
2017-02-20,6900.0
2017-02-27,250.0
2017-03-06,68.0
2017-03-13,2100.0
2017-03-20,2000.0
2017-03-27,1000.0
2017-04-03,140.0
2017-04-10,1800.0
2017-04-18,2600.0
2017-04-27,62.0
2017-11-05,253.0
2017-11-14,36.0
2017-11-20,
2017-11-26,20.0
2017-12-05,211.0
2017-12-11,52.0
2017-12-17,20.0
2017-12-24,10.0
2017-12-31,41.0
2018-01-07,30.0
2018-01-16,148.0
2018-01-23,187.0
2018-01-28,110.0
2018-02-05,3080.0
2018-02-12,146.0
2018-02-18,173.0
2018-02-27,148.0
2018-03-05,41.0
2018-03-11,3650.0
2018-03-20,62.0
2018-03-26,75.0
2018-04-04,31.0
2018-04-10,275.0
2018-04-16,1730.0
2018-04-22,556.0
2018-11-11,31.0
2018-11-19,110.0
2018-11-25,373.0
2018-12-02,2760.0
2018-12-11,341.0
2018-12-17,
2018-12-23,364.0
2018-12-31,411.0
2019-01-06,171.0
2019-01-14,74.0
2019-01-20,537.0
2019-01-28,275.0
2019-02-03,272.0
2019-02-11,120.0
2019-02-17,63.0
2019-02-25,4880.0
2019-03-03,199.0
2019-03-11,345.0
2019-03-18,85.0
2019-03-26,173.0
2019-03-31,20.0
2019-04-08,2098.0
2019-04-14,1019.0
2019-04-23,20.0
2019-04-28,86.0
2019-11-03,
2019-11-11,275.0
2019-11-17,20.0
2019-11-25,20.0
2019-12-01,166.0
2019-12-09,262.0
2019-12-15,110.0
2019-12-23,19900.0
2019-12-29,161.0
2020-01-06,256.0
2020-01-12,697.0
2020-01-20,31.0
2020-01-26,161.0
2020-02-03,465.0
2020-02-09,201.0
2020-02-17,145.0
2020-02-23,5480.0
2020-03-02,20.0
2020-03-08,31.0
2020-03-16,20.0
2020-03-23,30.0
2020-11-01,52.0
2020-11-11,556.0
2020-11-15,1989.0
2020-11-23,591.0
2020-11-29,1835.0
2020-12-07,160.0
2020-12-13,391.0
2020-12-21,134.0
2020-12-27,197.0
2021-01-04,1112.0
2021-01-10,146.0
2021-01-18,487.0
2021-01-24,135.0
2021-02-01,131.0
2021-02-07,135.0
2021-02-15,75.0
2021-02-21,86.0
2021-02-28,243.0
2021-03-07,146.0
2021-03-15,63.0
2021-03-21,110.0
2021-03-29,246.0
2021-04-04,5480.0
2021-04-12,10.0
2021-04-18,63.0
2021-04-27,269.0
2021-11-01,31.0
2021-11-08,3280.0
2021-11-16,86.0
2021-11-22,109.0
2021-11-29,63.0
2021-12-06,1266.0
2021-12-13,173.0
2021-12-20,1198.0
2021-12-27,216.0
2022-01-03,327.0
2022-01-10,231.0
2022-01-17,529.0
2022-01-24,20.0
2022-01-31,122.0
2022-02-07,24200.0
2022-02-14,5480.0
2022-02-21,285.0
2022-02-28,173.0
2022-03-07,121.0
2022-03-14,134.0
2022-03-21,246.0
2022-03-28,3870.0
2022-04-04,383.0
2022-04-11,86.0
2022-04-19,52.0
2022-04-26,10.0
2022-11-02,
2022-11-08,10.0
2022-11-15,833.0
2022-11-22,5480.0
2022-11-29,75.0
2022-12-06,259.0
2022-12-13,41.0
2022-12-20,3870.0
2022-12-27,495.0
2023-01-03,74.0
2023-01-10,9210.0
2023-01-17,545.0
2023-01-25,298.0
2023-01-31,
2023-02-08,336.0
2023-03-14,10.0
2023-03-21,243.0
2023-03-28,85.0
2023-04-04,20.0
2023-04-12,195.0
2023-04-18,10.0
2023-04-26,2187.0
2023-11-07,63.0
2023-11-14,31.0
2023-11-21,9800.0
2023-11-28,1722.0
2023-12-05,63.0
2023-12-12,609.0
2023-12-19,
2023-12-28,882.0
2024-01-04,63.0
2024-01-09,262.0
2024-01-16,733.0
2024-01-24,131.0
2024-01-30,2490.0
2024-02-07,86.0
2024-02-13,158.0
2024-02-19,173.0
2024-02-29,481.0
2024-03-05,31.0
2024-03-12,31.0
2024-03-20,173.0
2024-03-26,609.0
2024-04-03,41.0
2024-04-09,10.0
2024-04-16,52.0
2024-04-23,63.0
2024-11-05,235.0
2024-11-12,134.0
2024-11-19,30.0
2024-11-25,10.0
2024-12-03,5794.0
2024-12-10,2014.0
2024-12-17,3255.0
2024-12-23,7701.0
2024-12-30,299.0
2025-01-07,2723.0
2025-01-14,134.0
2025-01-22,3255.0
2025-01-27,368.0
2025-02-04,11199.0
2025-02-11,426.0
2025-02-18,160.0
2025-02-25,41.0
2025-03-05,4352.0
2025-03-11,2064.0
2025-03-18,161.0
2025-03-25,
2025-04-01,663.0
2025-04-08,7701.0
2025-04-15,75.0
2025-04-23,8664.0
2025-04-29,179.0
2025-11-04,52.0
2025-11-11,121.0
2025-11-18,52.0
2025-11-25,10.0
2025-12-02,209.0
2025-12-09,10.0
2025-12-16,52.0
2025-12-22,52.0
2025-12-29,52.0
2026-01-07,512.0
2026-01-13,122.0
2026-01-21,441.0
2026-01-27,743.0
2026-02-03,455.0
2026-02-10,41.0
2026-02-18,3650.0
2026-02-23,175.0
2026-03-03,281.0
2026-03-12,10.0
2026-03-17,52.0
2026-03-24,63.0
2026-03-31,85.0
2026-04-07,20.0
2026-04-14,8160.0
2026-04-23,8660.0
2026-04-29,279.0
