Date,EColi
2016-11-30,510.0
2016-12-06,84.0
2016-12-12,110.0
2016-12-19,81.0
2016-12-28,58.0
2017-01-04,3300.0
2017-01-09,85.0
2017-01-16,1700.0
2017-01-24,6900.0
2017-01-30,440.0
2017-02-07,190.0
2017-02-13,200.0
2017-02-20,1600.0
2017-02-27,30.0
2017-03-06,16.0
2017-03-13,780.0
2017-03-20,100.0
2017-03-27,310.0
2017-04-03,770.0
2017-04-10,440.0
2017-04-18,2100.0
2017-04-27,63.0
2017-11-05,110.0
2017-11-14,10.0
2017-11-20,20.0
2017-11-26,20.0
2017-12-05,61.0
2017-12-11,10.0
2017-12-17,31.0
2017-12-24,132.0
2017-12-31,86.0
2018-01-07,3260.0
2018-01-16,109.0
2018-01-23,712.0
2018-01-28,110.0
2018-02-07,121.0
2018-02-12,548.0
2018-02-18,496.0
2018-02-27,4110.0
2018-03-05,121.0
2018-03-11,1840.0
2018-03-20,173.0
2018-03-26,538.0
2018-04-04,121.0
2018-04-10,7700.0
2018-04-16,2140.0
2018-04-22,282.0
2018-11-11,85.0
2018-11-19,41.0
2018-11-25,63.0
2018-12-03,712.0
2018-12-09,563.0
2018-12-17,2098.0
2018-12-23,305.0
2018-12-31,457.0
2019-01-06,10.0
2019-01-14,175.0
2019-01-20,146.0
2019-01-28,75.0
2019-02-03,226.0
2019-02-11,52.0
2019-02-17,41.0
2019-02-25,4610.0
2019-03-03,199.0
2019-03-11,1576.0
2019-03-19,10.0
2019-03-25,63.0
2019-03-31,52.0
2019-04-08,86.0
2019-04-14,637.0
2019-04-23,20.0
2019-04-30,2910.0
2019-11-03,41.0
2019-11-11,4350.0
2019-11-17,373.0
2019-11-25,86.0
2019-12-01,52.0
2019-12-09,4110.0
2019-12-15,109.0
2019-12-23,602.0
2019-12-29,109.0
2020-01-06,52.0
2020-01-12,31.0
2020-01-20,
2020-01-26,31.0
2020-02-03,62.0
2020-02-09,30.0
2020-02-17,63.0
2020-02-23,6130.0
2020-03-02,63.0
2020-03-08,
2020-03-16,52.0
2020-03-22,1081.0
2020-11-04,86.0
2020-11-08,41.0
2020-11-16,279.0
2020-11-22,122.0
2020-11-30,2143.0
2020-12-06,259.0
2020-12-14,97.0
2020-12-20,9.0
2020-12-28,146.0
2021-01-03,249.0
2021-01-11,107.0
2021-01-17,96.0
2021-01-26,173.0
2021-01-31,20.0
2021-02-09,31.0
2021-02-09,31.0
2021-02-14,84.0
2021-02-22,85.0
2021-03-01,41.0
2021-03-08,504.0
2021-03-14,256.0
2021-03-28,52.0
2021-04-05,327.0
2021-04-19,75.0
2021-04-26,41.0
2021-11-02,110.0
2021-11-09,41.0
2021-11-16,1187.0
2021-11-23,373.0
2021-11-30,910.0
2021-12-07,7270.0
2021-12-14,14100.0
2021-12-21,336.0
2021-12-28,1539.0
2022-01-04,
2022-01-11,
2022-01-18,10.0
2022-01-25,10.0
2022-02-01,160.0
2022-02-08,3870.0
2022-02-15,2098.0
2022-02-22,323.0
2022-03-01,31.0
2022-03-08,73.0
2022-03-15,84.0
2022-03-22,2990.0
2022-03-29,1160.0
2022-04-05,249.0
2022-04-12,63.0
2022-04-19,52.0
2022-04-27,122.0
2022-11-01,173.0
2022-11-08,30.0
2022-11-15,20.0
2022-11-22,1935.0
2022-11-29,359.0
2022-12-07,121.0
2022-12-13,168.0
2022-12-20,2247.0
2022-12-27,148.0
2023-01-03,10.0
2023-01-10,4880.0
2023-01-17,259.0
2023-01-25,20.0
2023-01-31,24200.0
2023-02-08,384.0
2023-02-21,473.0
2023-02-28,1607.0
2023-03-07,155.0
2023-03-14,631.0
2023-03-21,432.0
2023-03-28,171.0
2023-04-04,85.0
2023-04-12,160.0
2023-04-18,85.0
2023-04-26,417.0
2023-11-07,98.0
2023-11-14,41.0
2023-11-21,3260.0
2023-11-28,487.0
2023-12-05,512.0
2023-12-12,414.0
2023-12-19,110.0
2023-12-28,63.0
2024-01-04,269.0
2024-01-09,31.0
2024-01-16,657.0
2024-01-24,109.0
2024-01-30,185.0
2024-02-07,122.0
2024-02-13,30.0
2024-02-20,121.0
2024-02-27,298.0
2024-03-05,3870.0
2024-03-12,303.0
2024-03-19,85.0
2024-03-26,368.0
2024-04-03,20.0
2024-04-09,132.0
2024-04-16,146.0
2024-04-23,75.0
2024-11-05,1723.0
2024-11-12,145.0
2024-11-19,
2024-11-25,
2024-12-03,
2024-12-10,1850.0
2024-12-17,97.0
2024-12-23,110.0
2024-12-30,256.0
2025-01-07,495.0
2025-01-14,31.0
2025-01-22,52.0
2025-01-28,393.0
2025-02-04,63.0
2025-02-11,52.0
2025-02-18,272.0
2025-02-25,74.0
2025-03-05,173.0
2025-03-11,228.0
2025-03-18,96.0
2025-03-25,120.0
2025-04-01,3255.0
2025-04-09,638.0
2025-04-15,41.0
2025-04-23,14136.0
2025-04-29,41.0
2025-11-05,173.0
2025-11-12,402.0
2025-11-19,41.0
2025-11-26,62.0
2025-12-03,3650.0
2025-12-10,63.0
2025-12-17,285.0
2025-12-22,10.0
2025-12-29,96.0
2026-01-07,211.0
2026-01-14,74.0
2026-01-22,3130.0
2026-01-28,221.0
2026-02-04,1467.0
2026-02-11,63.0
2026-02-18,5480.0
2026-02-24,211.0
2026-03-04,52.0
2026-03-12,63.0
2026-03-18,41.0
2026-03-25,31.0
2026-04-01,556.0
2026-04-08,146.0
2026-04-15,754.0
2026-04-22,24200.0
2026-04-30,309.0
