Date,EColi
2016-12-01,4800.0
2016-12-08,270.0
2016-12-12,2100.0
2016-12-19,150.0
2016-12-28,1500.0
2017-01-04,4800.0
2017-01-09,190.0
2017-01-16,770.0
2017-01-24,5200.0
2017-01-30,270.0
2017-02-07,190.0
2017-02-13,260.0
2017-03-06,90.0
2017-03-13,350.0
2017-04-03,6900.0
2017-04-10,330.0
2017-04-18,3100.0
2017-11-05,52.0
2017-11-14,41.0
2017-11-20,52.0
2017-11-26,189.0
2017-12-05,51.0
2017-12-11,64.0
2017-12-17,31.0
2017-12-24,134.0
2017-12-31,98.0
2018-01-07,3260.0
2018-01-16,211.0
2018-01-23,546.0
2018-01-28,63.0
2018-02-05,98.0
2018-02-12,2610.0
2018-02-18,41.0
2018-02-27,1920.0
2018-03-05,132.0
2018-03-11,1860.0
2018-03-20,132.0
2018-03-26,1940.0
2018-04-04,862.0
2018-04-10,17300.0
2018-04-16,185.0
2018-04-22,282.0
2018-11-11,108.0
2018-11-19,85.0
2018-11-25,185.0
2018-12-02,794.0
2018-12-11,216.0
2018-12-17,1376.0
2018-12-23,650.0
2018-12-31,1086.0
2019-01-06,108.0
2019-01-14,20.0
2019-01-20,73.0
2019-01-28,119.0
2019-02-03,73.0
2019-02-11,20.0
2019-02-17,
2019-02-25,3870.0
2019-03-03,63.0
2019-03-11,171.0
2019-03-18,120.0
2019-03-26,121.0
2019-03-31,72.0
2019-04-08,256.0
2019-04-14,213.0
2019-04-23,20.0
2019-04-28,161.0
2019-11-03,20.0
2019-11-11,9210.0
2019-11-17,3650.0
2019-11-25,63.0
2019-12-01,85.0
2019-12-09,2990.0
2019-12-15,52.0
2019-12-23,369.0
2019-12-29,62.0
2020-01-06,1078.0
2020-01-12,41.0
2020-01-20,118.0
2020-01-26,110.0
2020-02-03,203.0
2020-02-09,108.0
2020-02-17,86.0
2020-02-23,1935.0
2020-03-02,169.0
2020-03-08,110.0
2020-03-16,63.0
2020-03-23,305.0
2020-11-01,4610.0
2020-11-11,19900.0
2020-11-15,599.0
2020-11-23,63.0
2020-11-29,1019.0
2020-12-07,294.0
2020-12-13,226.0
2020-12-21,158.0
2020-12-27,134.0
2021-01-04,19900.0
2021-01-10,119.0
2021-01-18,63.0
2021-01-24,1670.0
2021-02-01,10.0
2021-02-07,30.0
2021-02-15,10.0
2021-02-21,135.0
2021-02-28,74.0
2021-03-07,233.0
2021-03-15,145.0
2021-03-21,86.0
2021-03-29,63.0
2021-04-04,383.0
2021-04-12,20.0
2021-04-18,313.0
2021-04-27,1664.0
2021-11-01,359.0
2021-11-08,355.0
2021-11-16,818.0
2021-11-22,3650.0
2021-11-29,86.0
2021-12-06,448.0
2021-12-13,5300.0
2021-12-20,331.0
2021-12-27,85.0
2022-01-03,20.0
2022-01-10,96.0
2022-01-17,10.0
2022-01-24,10.0
2022-01-31,20.0
2022-02-07,9210.0
2022-02-14,7270.0
2022-02-21,177.0
2022-02-28,75.0
2022-03-07,122.0
2022-03-14,135.0
2022-03-21,84.0
2022-03-28,1515.0
2022-04-04,399.0
2022-04-11,86.0
2022-04-19,41.0
2022-04-26,84.0
2022-11-02,171.0
2022-11-08,52.0
2022-11-15,228.0
2022-11-22,1376.0
2022-11-29,305.0
2022-12-06,226.0
2022-12-13,228.0
2022-12-20,8160.0
2022-12-27,373.0
2023-01-03,85.0
2023-01-10,7270.0
2023-01-17,327.0
2023-01-25,52.0
2023-01-31,15500.0
2023-02-08,359.0
2023-02-21,676.0
2023-02-28,1210.0
2023-03-07,309.0
2023-03-14,52.0
2023-03-21,243.0
2023-03-29,8660.0
2023-04-05,63.0
2023-04-13,366.0
2023-04-19,160.0
2023-04-26,1202.0
2023-11-07,638.0
2023-11-14,63.0
2023-11-21,17300.0
2023-11-28,591.0
2023-12-05,431.0
2023-12-12,389.0
2023-12-19,121.0
2023-12-28,414.0
2024-01-04,121.0
2024-01-09,41.0
2024-01-16,85.0
2024-01-24,135.0
2024-01-30,141.0
2024-02-07,203.0
2024-02-13,31.0
2024-02-19,86.0
2024-02-29,52.0
2024-03-05,3650.0
2024-03-12,148.0
2024-03-26,798.0
2024-04-03,41.0
2024-04-09,63.0
2024-04-16,185.0
2024-04-23,20.0
2024-11-05,2247.0
2024-11-12,189.0
2024-11-19,20.0
2024-11-25,279.0
2024-12-03,41.0
2024-12-10,1354.0
2024-12-17,1396.0
2024-12-23,292.0
2024-12-30,121.0
2025-01-07,272.0
2025-01-14,
2025-01-22,
2025-01-27,448.0
2025-02-04,63.0
2025-02-11,31.0
2025-02-18,52.0
2025-02-25,
2025-03-05,
2025-03-11,52.0
2025-03-18,
2025-03-25,
2025-04-01,473.0
2025-04-08,663.0
2025-04-15,52.0
2025-04-23,9804.0
2025-04-29,86.0
2025-11-04,75.0
2025-11-11,545.0
2025-11-18,52.0
2025-11-25,
2025-12-02,109.0
2025-12-09,30.0
2025-12-16,110.0
2025-12-29,209.0
2026-01-07,110.0
2026-01-13,119.0
2026-01-21,556.0
2026-01-27,1616.0
2026-02-03,218.0
2026-02-10,96.0
2026-02-18,4110.0
2026-02-23,373.0
2026-03-03,309.0
2026-03-12,146.0
2026-03-17,231.0
2026-03-24,74.0
2026-03-31,175.0
2026-04-07,63.0
2026-04-14,3080.0
2026-04-23,9210.0
2026-04-29,327.0
