Date,EColi
2016-11-30,110.0
2016-12-05,120.0
2016-12-14,170.0
2016-12-21,39.0
2016-12-28,48.0
2017-01-04,910.0
2017-01-11,73.0
2017-01-18,92.0
2017-01-25,140.0
2017-01-31,54.0
2017-02-08,310.0
2017-02-14,25.0
2017-02-21,58.0
2017-02-28,21.0
2017-03-07,58.0
2017-03-14,290.0
2017-03-21,34.0
2017-03-28,230.0
2017-04-04,9700.0
2017-04-11,110.0
2017-04-19,76.0
2017-04-26,44.0
2017-11-06,426.0
2017-11-12,31.0
2017-11-21,31.0
2017-11-29,323.0
2017-12-03,187.0
2017-12-12,85.0
2017-12-18,135.0
2017-12-27,197.0
2018-01-03,305.0
2018-01-08,96.0
2018-01-14,187.0
2018-01-24,122.0
2018-01-29,30.0
2018-02-04,75.0
2018-02-13,327.0
2018-02-19,97.0
2018-02-25,134.0
2018-03-06,63.0
2018-03-12,135.0
2018-03-18,52.0
2018-03-27,10.0
2018-04-05,75.0
2018-04-08,31.0
2018-04-17,282.0
2018-04-23,41.0
2018-11-11,86.0
2018-11-20,63.0
2018-11-25,52.0
2018-12-03,216.0
2018-12-09,
2018-12-17,75.0
2018-12-23,135.0
2018-12-31,187.0
2019-01-06,86.0
2019-01-14,110.0
2019-01-20,51.0
2019-01-28,63.0
2019-02-03,30.0
2019-02-11,10.0
2019-02-19,10.0
2019-02-25,1918.0
2019-03-03,52.0
2019-03-11,216.0
2019-03-17,20.0
2019-03-25,52.0
2019-03-31,
2019-04-09,146.0
2019-04-14,86.0
2019-04-23,41.0
2019-04-28,52.0
2019-11-03,10.0
2019-11-11,5790.0
2019-11-17,122.0
2019-11-25,52.0
2019-12-01,160.0
2019-12-09,228.0
2019-12-15,52.0
2019-12-23,135.0
2019-12-29,97.0
2020-01-06,41.0
2020-01-12,74.0
2020-01-20,52.0
2020-01-26,109.0
2020-02-03,41.0
2020-02-09,30.0
2020-02-17,120.0
2020-02-23,10.0
2020-03-02,63.0
2020-03-08,131.0
2020-03-16,75.0
2020-03-22,52.0
2020-11-01,173.0
2020-11-09,246.0
2020-11-15,63.0
2020-11-23,30.0
2020-11-29,160.0
2020-12-07,20.0
2020-12-13,95.0
2020-12-21,52.0
2020-12-27,31.0
2021-01-04,5790.0
2021-01-10,109.0
2021-01-18,733.0
2021-01-24,74.0
2021-02-02,160.0
2021-02-07,75.0
2021-02-15,120.0
2021-02-21,243.0
2021-02-28,108.0
2021-03-07,546.0
2021-03-15,160.0
2021-03-29,108.0
2021-04-06,63.0
2021-04-12,173.0
2021-04-18,216.0
2021-04-27,203.0
2021-11-03,259.0
2021-11-10,52.0
2021-11-17,14100.0
2021-11-24,52.0
2021-12-01,1670.0
2021-12-08,298.0
2021-12-15,1333.0
2021-12-22,146.0
2021-12-29,2064.0
2022-01-05,135.0
2022-01-12,20.0
2022-01-19,97.0
2022-01-26,135.0
2022-02-02,84.0
2022-02-09,199.0
2022-02-16,98.0
2022-02-23,10.0
2022-03-02,31.0
2022-03-09,109.0
2022-03-16,213.0
2022-03-23,341.0
2022-03-30,158.0
2022-04-06,213.0
2022-04-13,145.0
2022-04-20,
2022-04-28,74.0
2022-11-02,171.0
2022-11-08,63.0
2022-11-15,145.0
2022-11-22,97.0
2022-11-29,223.0
2022-12-07,63.0
2022-12-13,228.0
2022-12-20,677.0
2022-12-27,20.0
2023-01-03,41.0
2023-01-10,521.0
2023-01-17,63.0
2023-01-25,110.0
2023-01-31,327.0
2023-02-08,31.0
2023-02-21,266.0
2023-02-28,275.0
2023-03-07,135.0
2023-03-14,717.0
2023-03-21,41.0
2023-03-28,98.0
2023-04-04,122.0
2023-04-12,1012.0
2023-04-18,
2023-04-26,181.0
2023-11-07,31.0
2023-11-14,31.0
2023-11-21,305.0
2023-11-28,73.0
2023-12-05,86.0
2023-12-12,135.0
2023-12-19,85.0
2023-12-28,175.0
2024-01-04,169.0
2024-01-09,146.0
2024-01-16,537.0
2024-01-24,86.0
2024-01-30,187.0
2024-02-07,
2024-02-13,52.0
2024-02-20,63.0
2024-02-27,173.0
2024-03-05,2382.0
2024-03-12,109.0
2024-03-19,98.0
2024-03-26,41.0
2024-04-03,
2024-04-09,41.0
2024-04-16,132.0
2024-04-23,98.0
2024-11-05,1334.0
2024-11-12,20.0
2024-11-19,52.0
2024-11-25,52.0
2024-12-03,74.0
2024-12-10,3873.0
2024-12-17,309.0
2024-12-23,134.0
2024-12-30,86.0
2025-01-07,350.0
2025-01-14,31.0
2025-01-22,63.0
2025-01-28,108.0
2025-02-04,20.0
2025-02-11,20.0
2025-02-18,481.0
2025-02-25,41.0
2025-03-05,2282.0
2025-03-11,41.0
2025-03-18,30.0
2025-03-25,31.0
2025-04-01,865.0
2025-04-09,171.0
2025-04-15,63.0
2025-04-23,
2025-04-29,20.0
2025-11-05,10.0
2025-11-12,120.0
2025-11-19,109.0
2025-11-26,52.0
2025-12-03,3260.0
2025-12-10,63.0
2025-12-17,359.0
2025-12-22,121.0
2025-12-29,85.0
2026-01-07,52.0
2026-01-14,52.0
2026-01-22,1296.0
2026-01-28,350.0
2026-02-04,272.0
2026-02-11,97.0
2026-02-18,583.0
2026-02-24,63.0
2026-03-04,52.0
2026-03-12,20.0
2026-03-18,63.0
2026-03-25,63.0
2026-04-01,52.0
2026-04-08,98.0
2026-04-15,85.0
2026-04-22,1014.0
2026-04-30,86.0
